dt,winning_bid_max,winning_bid_min,winning_bid_mean,auction_trading_volume,auction_lots_count,all_auctions_lots_count,auction_name,auction_slug
2020-10-01,16200.0,2.0,97.27,320499.0,3295,43036,Whisky.Auction,whiskyauction
2020-10-01,13390.1,0.9,222.11,1220923.8,5497,43036,WhiskyAuction.com,whiskyauctioncom
2020-10-01,122000.0,15.0,380.73,3720867.0,9773,43036,Whisky Auctioneer,whiskyauctioneer
2020-10-01,2100.0,2.5,321.85,26070.0,81,43036,Whisky Bull Auctions,whisky-bull-auctions
2020-10-01,92500.0,20.0,348.01,1022452.5,2938,43036,Whisky Hammer,whisky-hammer
2020-10-01,49100.0,1.0,311.31,384463.5,1235,43036,Whisky-Online Auctions,whisky-online-auctions
2020-10-01,880.0,2.5,40.5,20980.0,518,43036,WVA Whisky Auctions,wva-whisky-auctions
2020-09-01,5552.0,1.0,165.09,474962.0,2877,36287,Catawiki Whisky Auction,catawiki
2020-09-01,2429.0,11.0,188.02,50012.0,266,36287,Celtic Whiskey Auction,celtic-whiskey-auction
2020-09-01,3470.0,0.0,151.33,113498.0,750,36287,Irish Whiskey Auctions,irish-whiskey-auctions
2020-09-01,20905.0,6.0,230.05,224992.6,978,36287,Just Whisky Auctions,just-whisky
2020-09-01,3600.0,5.0,133.94,39780.0,297,36287,McTear’s Whisky Auction,mctears
2020-09-01,6400.0,15.0,229.11,169767.0,741,36287,Rum Auctioneer,rumauctioneer
2020-09-01,38000.0,0.0,245.44,1865105.0,7599,36287,Scotch Whisky Auctions,scotchwhiskyauctions
2020-09-01,62622.3,80.0,4005.72,1361946.2,340,36287,Sotheby's Whisky Auction,sothebys-whisky-auction
2020-09-01,11000.0,5.0,216.05,95710.03,443,36287,Speyside Whisky Auctions,speyside-whisky-auctions
2020-09-01,60000.0,5.0,266.29,511806.74,1922,36287,The Grand Whisky Auction,thegrandwhiskyauction
2020-09-01,10000.0,15.0,220.06,76801.0,349,36287,The Whisky Shop Auctions,the-whisky-shop-auctions
2020-09-01,779.0,4.0,111.05,50085.0,451,36287,Unicorn Auctions,unicorn-auctions
2020-09-01,6288.5,68.6,518.0,87541.8,169,36287,Waddington's Whisky Auction,waddingtons-whisky-auction
2020-09-01,14200.0,5.0,237.15,327744.0,1382,36287,Whisky.Auction,whiskyauction
2020-09-01,16383.4,0.9,215.18,1276886.5,5934,36287,WhiskyAuction.com,whiskyauctioncom
2020-09-01,52000.0,15.0,304.67,2423034.0,7953,36287,Whisky Auctioneer,whiskyauctioneer
2020-09-01,65000.0,20.0,365.21,930555.0,2548,36287,Whisky Hammer,whisky-hammer
2020-09-01,40000.0,3.0,315.51,266925.5,846,36287,Whisky-Online Auctions,whisky-online-auctions
2020-09-01,1875.0,2.5,44.03,19460.0,442,36287,WVA Whisky Auctions,wva-whisky-auctions
